,ᄒ,( ?)ᄀ,ᄁ,ᄂ,( ?)ᄃ,ᄄ,ᄅ,ᄆ,ᄇ,ᄈ,ᄉ,ᄊ,ᄌ,ᄍ,ᄎ,ᄏ,ᄐ,ᄑ,(\W|$)
ᇂ,ᄒ,\1ᄏ(12),ᄁ,ᆫᄂ(12),\1ᄐ(12),ᄄ,ᄅ,ᄆ,ᄇ,ᄈ,ᄊ(12),ᄊ,ᄎ(12),ᄍ,ᄎ,ᄏ,ᄐ,ᄑ,ᆮ\1
ᆨ,ᄏ(12),ᆨ\1ᄁ(23),,ᆼᄂ(18),ᆨ\1ᄄ(23),,ᆼᄅ(19/18),ᆼᄆ(18),ᆨᄈ(23),,ᆨᄊ(23),,ᆨᄍ(23),,,,,,
ᆩ,ᄏ,ᆨ\1ᄁ(9/23),ᆨᄁ(9),ᆼᄂ(18),ᆨ\1ᄄ(9/23),ᆨᄄ(9),ᆼᄂ,ᆼᄆ(18),ᆨᄈ(9/23),ᆨᄈ(9),ᆨᄊ(9/23),ᆨᄊ(9),ᆨᄍ(9/23),ᆨᄍ(9),ᆨᄎ(9),ᆨᄏ(9),ᆨᄐ(9),ᆨᄑ(9),ᆨ\1(9)
ᆪ,ᄏ,ᆨ\1ᄁ(9/23),ᆨᄁ(10),ᆼᄂ(18),ᆨ\1ᄄ(9/23),ᆨᄄ(10),ᆼᄂ,ᆼᄆ(18),ᆨᄈ(9/23),ᆨᄈ(10),ᆨᄊ(9/23),ᆨᄊ(10),ᆨᄍ(9/23),ᆨᄍ(10),ᆨᄎ(10),ᆨᄏ(10),ᆨᄐ(10),ᆨᄑ(10),ᆨ\1(10)
ᆫ,,,,,,,ᆯᄅ(20),,,,,,,,,,,,
ᆬ,ᆫᄎ(12),ᆫ\1ᄀ(10),ᆫᄁ(10),ᆫᄂ(10),ᆫ\1ᄃ(10),ᆫᄄ(10),ᆯᄅ(10/20),ᆫᄆ(10),ᆫᄇ(10),ᆫᄈ(10),ᆫᄉ(10),ᆫᄊ(10),ᆫᄌ(10),ᆫᄍ(10),ᆫᄎ(10),ᆫᄏ(10),ᆫᄐ(10),ᆫᄑ(10),ᆫ\1(10)
ᆭ,ᆫᄒ,ᆫ\1ᄏ(12),ᆫᄁ,ᆫᄂ(12),ᆫ\1ᄐ(12),ᆫᄄ,ᆯᄅ,ᆫᄆ,ᆫᄇ,ᆫᄈ,ᆫᄊ(12),ᆫᄊ,ᆫᄎ(12),ᆫᄍ,ᆫᄎ,ᆫᄏ,ᆫᄐ,ᆫᄑ,ᆫ\1
ᆮ,ᄐ(12),ᆮ\1ᄁ(23),,ᆫᄂ(18),ᆮ\1ᄄ(23),,ᆫᄂ,ᆫᄆ(18),ᆮᄈ(23),,ᆮᄊ(23),,ᆮᄍ(23),,,,,,
ᆯ,,,,ᆯᄅ(20),,,,,,,,,,,,,,,
